aug,p,dataset,project,run_name,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
crop,1.0,Dataset_crop_p10,/users/PAS2119/darklord/CVfinalproject/AugmentationProject/runs,coco_crop_p10,30,1754.2,1.15049,1.31234,1.29284,0.57159,0.41032,0.43774,0.30243,1.19492,1.35792,1.20749,0.00043,0.00043,0.00043
brightness,1.0,Dataset_brightness_p10,/users/PAS2119/darklord/CVfinalproject/AugmentationProject/runs,coco_brightness_p10,30,1742.14,1.16698,1.22692,1.21319,0.59214,0.42273,0.45936,0.31858,1.17316,1.31055,1.1836,0.00043,0.00043,0.00043
contrast,1.0,Dataset_contrast_p10,/users/PAS2119/darklord/CVfinalproject/AugmentationProject/runs,coco_contrast_p10,30,1750.2,1.15407,1.20341,1.20425,0.56872,0.43648,0.46073,0.31897,1.17174,1.30641,1.1832,0.00043,0.00043,0.00043
sharpness,1.0,Dataset_sharpness_p10,/users/PAS2119/darklord/CVfinalproject/AugmentationProject/runs,coco_sharpness_p10,30,1749.87,1.1598,1.21563,1.20707,0.57077,0.42665,0.45539,0.3159,1.17538,1.31883,1.18846,0.00043,0.00043,0.00043
blur,1.0,Dataset_blur_p10,/users/PAS2119/darklord/CVfinalproject/AugmentationProject/runs,coco_blur_p10,30,1765.66,1.19651,1.26063,1.22775,0.56138,0.41933,0.44099,0.3047,1.19237,1.35197,1.19531,0.00043,0.00043,0.00043
dropout,1.0,Dataset_dropout_p10,/users/PAS2119/darklord/CVfinalproject/AugmentationProject/runs,coco_dropout_p10,30,1760.53,1.1769,1.22877,1.2193,0.57861,0.4262,0.4582,0.31696,1.18526,1.31966,1.18897,0.00043,0.00043,0.00043
crop,0.5,Dataset_crop_p05,/users/PAS2119/darklord/CVfinalproject/AugmentationProject/runs,coco_crop_p05,30,1751.6,1.15691,1.26887,1.25386,0.5562,0.43223,0.45302,0.31374,1.17517,1.32121,1.18896,0.00043,0.00043,0.00043
