epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.381,1.30562,1.37552,1.29674,0.59991,0.40394,0.44472,0.30304,1.24255,1.40756,1.21181,0.00332481,0.00332481,0.00332481
2,247.282,1.33568,1.5847,1.2997,0.42338,0.30043,0.28089,0.18034,1.44544,1.95456,1.37811,0.00643842,0.00643842,0.00643842
3,352.598,1.47101,1.98757,1.40198,0.22581,0.09885,0.06705,0.03849,1.82794,3.53213,1.70928,0.00933204,0.00933204,0.00933204
4,451.438,1.55565,2.23136,1.47312,0.25602,0.16773,0.11482,0.0663,1.71208,2.79862,1.6146,0.00901,0.00901,0.00901
5,548.343,1.50479,2.12996,1.43988,0.39569,0.20406,0.18072,0.11163,1.59509,2.42233,1.51458,0.00868,0.00868,0.00868
6,645.724,1.46153,2.02505,1.4131,0.43447,0.26907,0.25214,0.15658,1.47735,2.0361,1.41929,0.00835,0.00835,0.00835
7,742.487,1.43551,1.96359,1.39158,0.41725,0.26224,0.24878,0.15888,1.46313,2.08588,1.42759,0.00802,0.00802,0.00802
8,838.82,1.41178,1.90071,1.37444,0.46053,0.27853,0.27965,0.17912,1.44598,1.93352,1.39212,0.00769,0.00769,0.00769
9,934.644,1.39846,1.85753,1.36546,0.46169,0.28457,0.29318,0.18928,1.42541,1.95527,1.3941,0.00736,0.00736,0.00736
10,1032.05,1.37847,1.81739,1.35079,0.47027,0.32186,0.32136,0.20925,1.37719,1.73444,1.34931,0.00703,0.00703,0.00703
11,1129.6,1.36558,1.78242,1.34042,0.46017,0.33407,0.33972,0.22263,1.34861,1.68052,1.31859,0.0067,0.0067,0.0067
12,1226.94,1.35378,1.7439,1.33084,0.48072,0.34491,0.34816,0.22834,1.34765,1.66181,1.31356,0.00637,0.00637,0.00637
13,1324.37,1.34188,1.71539,1.324,0.49569,0.34576,0.35856,0.23742,1.32853,1.62746,1.3023,0.00604,0.00604,0.00604
14,1421.68,1.33194,1.68475,1.31442,0.51981,0.35675,0.37449,0.24809,1.30697,1.56965,1.29087,0.00571,0.00571,0.00571
15,1518.81,1.31858,1.66163,1.30845,0.52366,0.3662,0.38389,0.25773,1.29594,1.54261,1.28322,0.00538,0.00538,0.00538
16,1615.95,1.31023,1.6375,1.30286,0.529,0.37173,0.39338,0.26156,1.28814,1.50874,1.26965,0.00505,0.00505,0.00505
17,1712.8,1.30048,1.60536,1.29164,0.52706,0.39123,0.40485,0.27296,1.27642,1.48703,1.26486,0.00472,0.00472,0.00472
18,1809.95,1.28643,1.58918,1.28427,0.52374,0.3938,0.41119,0.27718,1.26841,1.46502,1.2487,0.00439,0.00439,0.00439
19,1906.98,1.27725,1.56182,1.27846,0.55336,0.39745,0.42614,0.28838,1.25726,1.42528,1.24569,0.00406,0.00406,0.00406
20,2004.06,1.27246,1.54623,1.27474,0.55122,0.3978,0.429,0.29092,1.24532,1.41871,1.23891,0.00373,0.00373,0.00373
21,2100.71,1.27682,1.47156,1.27452,0.54425,0.41447,0.43047,0.29396,1.24005,1.41245,1.23666,0.0034,0.0034,0.0034
22,2196,1.26424,1.43368,1.26714,0.55632,0.40658,0.43471,0.29594,1.23213,1.39751,1.23377,0.00307,0.00307,0.00307
23,2290.7,1.24717,1.39622,1.25456,0.55576,0.41712,0.43987,0.30253,1.22702,1.38339,1.22714,0.00274,0.00274,0.00274
24,2385.2,1.23614,1.36698,1.24595,0.56783,0.41341,0.4421,0.30395,1.22137,1.37575,1.22577,0.00241,0.00241,0.00241
25,2479.72,1.22205,1.33374,1.23619,0.56694,0.42323,0.44736,0.30757,1.21709,1.36527,1.22076,0.00208,0.00208,0.00208
26,2574.15,1.2102,1.311,1.22802,0.55245,0.42903,0.4489,0.30836,1.21737,1.35894,1.21983,0.00175,0.00175,0.00175
27,2668.51,1.19625,1.27384,1.21689,0.56199,0.42397,0.45006,0.30988,1.2132,1.35595,1.2166,0.00142,0.00142,0.00142
28,2763.22,1.18493,1.24698,1.20903,0.56511,0.42805,0.45179,0.31121,1.21159,1.34953,1.21418,0.00109,0.00109,0.00109
29,2857.99,1.17189,1.22065,1.20231,0.57139,0.42401,0.45215,0.31209,1.2088,1.34651,1.21422,0.00076,0.00076,0.00076
30,2952.81,1.16304,1.19938,1.19688,0.57476,0.4253,0.45248,0.31245,1.20798,1.34695,1.21299,0.00043,0.00043,0.00043
