epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.318,1.16831,1.3125,1.23077,0.58199,0.43379,0.46231,0.3184,1.20116,1.35462,1.19413,0.00332481,0.00332481,0.00332481
2,248.541,1.25045,1.5435,1.28187,0.39999,0.2536,0.23216,0.14581,1.4463,2.0703,1.37456,0.00643842,0.00643842,0.00643842
3,346.922,1.40635,1.95555,1.39416,0.2591,0.11011,0.06335,0.03561,1.81446,3.16851,1.71452,0.00933204,0.00933204,0.00933204
4,446.996,1.49681,2.217,1.47162,0.28371,0.16878,0.13207,0.0773,1.68714,2.64643,1.5859,0.00901,0.00901,0.00901
5,545.165,1.45622,2.10688,1.44512,0.37828,0.23777,0.21256,0.13191,1.51414,2.16426,1.4861,0.00868,0.00868,0.00868
6,643.192,1.4216,2.00852,1.42098,0.39846,0.23396,0.2182,0.13621,1.49313,2.12942,1.45547,0.00835,0.00835,0.00835
7,741.778,1.39981,1.95056,1.40031,0.41128,0.2864,0.27405,0.17695,1.40747,1.89969,1.38514,0.00802,0.00802,0.00802
8,838.855,1.37473,1.88273,1.38652,0.45884,0.28897,0.2846,0.18316,1.41292,1.91211,1.37438,0.00769,0.00769,0.00769
9,936.031,1.35388,1.82893,1.36892,0.47337,0.29745,0.29665,0.19198,1.39978,1.85025,1.37335,0.00736,0.00736,0.00736
10,1032.79,1.34495,1.79442,1.36229,0.50473,0.31264,0.32897,0.21471,1.36381,1.72317,1.33838,0.00703,0.00703,0.00703
11,1129.85,1.33284,1.76152,1.35099,0.48902,0.33908,0.34176,0.22385,1.33936,1.66501,1.31467,0.0067,0.0067,0.0067
12,1226.87,1.31807,1.72853,1.34232,0.48708,0.33253,0.3395,0.22584,1.32694,1.68541,1.31113,0.00637,0.00637,0.00637
13,1324.1,1.30633,1.70205,1.33574,0.50275,0.35576,0.36749,0.2446,1.30156,1.58554,1.28736,0.00604,0.00604,0.00604
14,1420.86,1.29769,1.65968,1.32357,0.48608,0.36618,0.37589,0.2504,1.29904,1.56013,1.28557,0.00571,0.00571,0.00571
15,1517.92,1.28619,1.64233,1.31771,0.54594,0.37289,0.39448,0.26595,1.27372,1.51947,1.26705,0.00538,0.00538,0.00538
16,1614.61,1.27303,1.61666,1.31335,0.55067,0.38079,0.40385,0.27172,1.26636,1.48974,1.26351,0.00505,0.00505,0.00505
17,1711.82,1.26308,1.58965,1.30368,0.54281,0.39096,0.41495,0.28139,1.24886,1.44951,1.24955,0.00472,0.00472,0.00472
18,1809.07,1.25605,1.56337,1.29851,0.56612,0.39535,0.42839,0.29058,1.23893,1.42042,1.23772,0.00439,0.00439,0.00439
19,1906.07,1.24835,1.54546,1.29235,0.55427,0.40785,0.42907,0.29412,1.22973,1.40043,1.23185,0.00406,0.00406,0.00406
20,2002.98,1.23852,1.51957,1.28486,0.57218,0.40125,0.43735,0.29989,1.22163,1.39543,1.22845,0.00373,0.00373,0.00373
21,2099.49,1.2514,1.46454,1.29362,0.55082,0.41803,0.43849,0.29977,1.21712,1.38937,1.22611,0.0034,0.0034,0.0034
22,2194.23,1.23182,1.41162,1.27898,0.56126,0.4189,0.44306,0.30468,1.21335,1.37462,1.22013,0.00307,0.00307,0.00307
23,2288.89,1.22096,1.38391,1.27235,0.56119,0.43169,0.45205,0.31006,1.20948,1.35655,1.21882,0.00274,0.00274,0.00274
24,2383.6,1.20965,1.35039,1.26256,0.57205,0.42746,0.45171,0.31241,1.2058,1.34698,1.2154,0.00241,0.00241,0.00241
25,2478.49,1.19467,1.31807,1.2526,0.56414,0.42883,0.45459,0.31478,1.20342,1.34198,1.2109,0.00208,0.00208,0.00208
26,2573.19,1.18234,1.28983,1.24265,0.5843,0.42181,0.45786,0.31732,1.19737,1.33241,1.20694,0.00175,0.00175,0.00175
27,2667.86,1.17247,1.26128,1.23335,0.59163,0.42048,0.45932,0.31857,1.19436,1.32589,1.20409,0.00142,0.00142,0.00142
28,2762.39,1.16085,1.2349,1.22602,0.59144,0.42662,0.46187,0.32009,1.19457,1.32377,1.2036,0.00109,0.00109,0.00109
29,2856.96,1.14821,1.20594,1.2187,0.56531,0.43784,0.46359,0.32135,1.19442,1.31872,1.20333,0.00076,0.00076,0.00076
30,2951.9,1.13367,1.18032,1.20917,0.5812,0.43449,0.46498,0.32236,1.19453,1.31496,1.2033,0.00043,0.00043,0.00043
