epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.339,1.17366,1.2857,1.21651,0.57707,0.43697,0.45972,0.31709,1.20169,1.37663,1.1944,0.00332481,0.00332481,0.00332481
2,247.079,1.25826,1.51918,1.26894,0.43618,0.26808,0.25647,0.15999,1.43311,1.97322,1.35978,0.00643842,0.00643842,0.00643842
3,346.888,1.41474,1.92412,1.37764,0.28295,0.09737,0.06661,0.03843,1.76168,3.25501,1.69532,0.00933204,0.00933204,0.00933204
4,444.076,1.50471,2.17692,1.45142,0.34044,0.20529,0.16219,0.09688,1.60785,2.36671,1.52391,0.00901,0.00901,0.00901
5,541.935,1.4667,2.07169,1.42614,0.34314,0.21153,0.18634,0.11353,1.56347,2.32907,1.48353,0.00868,0.00868,0.00868
6,639.943,1.43038,1.97395,1.40405,0.42326,0.26718,0.25398,0.15767,1.46242,1.94934,1.41319,0.00835,0.00835,0.00835
7,737.655,1.40801,1.92232,1.38549,0.41526,0.27906,0.27009,0.17202,1.41822,1.91291,1.37366,0.00802,0.00802,0.00802
8,833.936,1.38475,1.85595,1.37215,0.48082,0.2892,0.28497,0.18128,1.4228,1.90256,1.35912,0.00769,0.00769,0.00769
9,931.665,1.36328,1.7978,1.35199,0.47206,0.30879,0.31992,0.20886,1.37109,1.77118,1.34634,0.00736,0.00736,0.00736
10,1028.31,1.35328,1.76595,1.34598,0.49054,0.32253,0.32975,0.21577,1.36144,1.71459,1.32455,0.00703,0.00703,0.00703
11,1125.81,1.34014,1.73633,1.33507,0.48448,0.34457,0.34523,0.22757,1.33165,1.66177,1.31543,0.0067,0.0067,0.0067
12,1223.05,1.32784,1.70018,1.32803,0.50944,0.33909,0.35468,0.23307,1.32893,1.66004,1.30973,0.00637,0.00637,0.00637
13,1320.06,1.31686,1.67677,1.32114,0.52187,0.35579,0.37242,0.24844,1.29691,1.58186,1.278,0.00604,0.00604,0.00604
14,1416.81,1.30578,1.63521,1.30931,0.50173,0.36888,0.38064,0.25324,1.288,1.56139,1.27735,0.00571,0.00571,0.00571
15,1513.74,1.29632,1.61573,1.3033,0.51847,0.37301,0.38966,0.26339,1.2705,1.51892,1.27199,0.00538,0.00538,0.00538
16,1610.46,1.28216,1.58892,1.29675,0.54194,0.3858,0.40487,0.27275,1.26084,1.48325,1.25301,0.00505,0.00505,0.00505
17,1707.22,1.27377,1.56813,1.29106,0.54021,0.39113,0.41698,0.2829,1.24757,1.45711,1.24574,0.00472,0.00472,0.00472
18,1803.78,1.26574,1.5375,1.28188,0.56213,0.39695,0.42593,0.29072,1.24662,1.43041,1.24349,0.00439,0.00439,0.00439
19,1900.73,1.25735,1.51919,1.27715,0.54257,0.41361,0.4311,0.29388,1.23218,1.39732,1.22885,0.00406,0.00406,0.00406
20,1997.59,1.247,1.49708,1.27028,0.55014,0.40903,0.43766,0.30071,1.22466,1.39279,1.22659,0.00373,0.00373,0.00373
21,2093.88,1.25908,1.44112,1.27301,0.54719,0.41603,0.43737,0.30055,1.22328,1.39066,1.22471,0.0034,0.0034,0.0034
22,2188.78,1.24116,1.39355,1.26061,0.54936,0.43088,0.44673,0.30758,1.21341,1.36753,1.21658,0.00307,0.00307,0.00307
23,2283.36,1.22789,1.36645,1.25314,0.57509,0.41932,0.45245,0.31086,1.21067,1.35362,1.21536,0.00274,0.00274,0.00274
24,2377.91,1.21769,1.33389,1.24557,0.56023,0.43216,0.45419,0.31416,1.20476,1.34645,1.21274,0.00241,0.00241,0.00241
25,2472.48,1.20453,1.30327,1.23505,0.55903,0.43546,0.45727,0.31661,1.19742,1.33714,1.20665,0.00208,0.00208,0.00208
26,2566.92,1.19199,1.27222,1.22664,0.55416,0.4432,0.4641,0.32052,1.1999,1.32924,1.20632,0.00175,0.00175,0.00175
27,2661.37,1.18027,1.24627,1.21779,0.57525,0.4312,0.46348,0.32165,1.1959,1.32643,1.20464,0.00142,0.00142,0.00142
28,2755.85,1.16796,1.21477,1.20869,0.56128,0.44606,0.46718,0.32383,1.19415,1.32015,1.20158,0.00109,0.00109,0.00109
29,2850.25,1.15506,1.19144,1.20066,0.57907,0.43992,0.46725,0.32386,1.19365,1.31921,1.20225,0.00076,0.00076,0.00076
30,2944.78,1.14411,1.16461,1.19334,0.59123,0.43473,0.46746,0.32412,1.19261,1.31492,1.20134,0.00043,0.00043,0.00043
