epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.811,1.20952,1.5435,1.31688,0.54449,0.40313,0.42566,0.29028,1.21374,1.4486,1.2094,0.00332481,0.00332481,0.00332481
2,161.267,1.273,1.74356,1.35747,0.38173,0.22516,0.19872,0.12229,1.5146,2.28192,1.45164,0.00643842,0.00643842,0.00643842
3,219.91,1.41224,2.19396,1.4833,0.33955,0.13171,0.09714,0.05496,1.74261,2.99839,1.64634,0.00933204,0.00933204,0.00933204
4,278.411,1.48591,2.41116,1.55179,0.29623,0.17538,0.13794,0.08048,1.67134,2.52884,1.60376,0.00901,0.00901,0.00901
5,337.645,1.44883,2.29408,1.52041,0.28618,0.14707,0.10816,0.0629,1.66449,2.76934,1.63961,0.00868,0.00868,0.00868
6,394.654,1.40913,2.20397,1.49248,0.38968,0.21813,0.20175,0.12651,1.50054,2.156,1.44831,0.00835,0.00835,0.00835
7,452.153,1.38172,2.13879,1.4715,0.38879,0.25765,0.24409,0.15214,1.45952,1.99887,1.43863,0.00802,0.00802,0.00802
8,509.452,1.35476,2.0568,1.45244,0.43021,0.25903,0.25018,0.15878,1.44287,1.98327,1.41145,0.00769,0.00769,0.00769
9,566.936,1.35621,2.0267,1.45132,0.46205,0.2841,0.27826,0.17766,1.37546,1.84869,1.36866,0.00736,0.00736,0.00736
10,624.467,1.32396,1.96713,1.43581,0.40802,0.30913,0.29114,0.18786,1.36327,1.80357,1.35496,0.00703,0.00703,0.00703
11,681.908,1.31025,1.93282,1.41688,0.47049,0.31473,0.31379,0.20617,1.34445,1.72371,1.32007,0.0067,0.0067,0.0067
12,738.802,1.29872,1.89011,1.4079,0.46076,0.3152,0.31327,0.20672,1.34634,1.72011,1.32863,0.00637,0.00637,0.00637
13,796.744,1.29639,1.87563,1.40483,0.47761,0.33301,0.3335,0.21993,1.32131,1.65604,1.31091,0.00604,0.00604,0.00604
14,854.181,1.27767,1.8101,1.39419,0.49652,0.34212,0.35302,0.23527,1.2897,1.602,1.28347,0.00571,0.00571,0.00571
15,911.826,1.2732,1.80211,1.38474,0.513,0.35084,0.36725,0.24555,1.28781,1.56333,1.27691,0.00538,0.00538,0.00538
16,969.216,1.2641,1.78066,1.37846,0.51729,0.36695,0.37753,0.25327,1.27221,1.52901,1.26653,0.00505,0.00505,0.00505
17,1026.31,1.25815,1.74654,1.37323,0.51089,0.36681,0.37876,0.25557,1.25568,1.50425,1.25546,0.00472,0.00472,0.00472
18,1083.13,1.24226,1.72191,1.36152,0.53767,0.37578,0.3929,0.26353,1.24716,1.4813,1.25191,0.00439,0.00439,0.00439
19,1140.69,1.23233,1.71506,1.36081,0.5452,0.37604,0.39561,0.268,1.24106,1.46945,1.24623,0.00406,0.00406,0.00406
20,1197.44,1.2259,1.67155,1.35231,0.53924,0.39294,0.40948,0.27848,1.23186,1.4335,1.23577,0.00373,0.00373,0.00373
21,1255.2,1.24579,1.58305,1.37058,0.53988,0.39345,0.40752,0.27684,1.22688,1.43633,1.23314,0.0034,0.0034,0.0034
22,1310.83,1.22951,1.54281,1.35856,0.54303,0.39425,0.41497,0.28425,1.22131,1.42198,1.22716,0.00307,0.00307,0.00307
23,1365.82,1.21691,1.50113,1.35044,0.54737,0.39839,0.41835,0.28734,1.21653,1.4104,1.22245,0.00274,0.00274,0.00274
24,1421.37,1.2212,1.48733,1.34533,0.55482,0.40832,0.42631,0.29324,1.20689,1.39267,1.21803,0.00241,0.00241,0.00241
25,1477.54,1.20118,1.45151,1.334,0.56833,0.40303,0.42878,0.29575,1.20224,1.38303,1.21534,0.00208,0.00208,0.00208
26,1533.18,1.18737,1.41246,1.32057,0.54755,0.41391,0.43074,0.29702,1.20132,1.37964,1.21259,0.00175,0.00175,0.00175
27,1587.59,1.17077,1.38915,1.31594,0.55876,0.41076,0.4332,0.29857,1.19933,1.37139,1.21065,0.00142,0.00142,0.00142
28,1643.6,1.16619,1.36588,1.30464,0.5687,0.40779,0.43498,0.30001,1.19603,1.36303,1.20825,0.00109,0.00109,0.00109
29,1698.67,1.14545,1.32948,1.29402,0.56261,0.41657,0.43821,0.30238,1.19553,1.3593,1.20802,0.00076,0.00076,0.00076
30,1754.2,1.15049,1.31234,1.29284,0.57159,0.41032,0.43774,0.30243,1.19492,1.35792,1.20749,0.00043,0.00043,0.00043
