aug,p,dataset,project,run_name,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
rotate,1.0,Dataset_rotate_p10,/users/PAS2119/darklord/CVfinalproject/AugmentationProject/runs,coco_rotate_p10,30,2927.07,1.29867,1.35434,1.35714,0.56143,0.39839,0.42009,0.2356,1.59336,1.51441,1.4182,0.00043,0.00043,0.00043
zoom,1.0,Dataset_zoom_p10,/users/PAS2119/darklord/CVfinalproject/AugmentationProject/runs,coco_zoom_p10,30,2952.81,1.16304,1.19938,1.19688,0.57476,0.4253,0.45248,0.31245,1.20798,1.34695,1.21299,0.00043,0.00043,0.00043
