epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.57,1.23524,1.31799,1.25895,0.57373,0.42236,0.44926,0.30698,1.23019,1.39585,1.21194,0.00332481,0.00332481,0.00332481
2,250.034,1.31504,1.55215,1.2992,0.42165,0.23229,0.22643,0.14467,1.49162,2.1958,1.39045,0.00643842,0.00643842,0.00643842
3,348.423,1.46099,1.95115,1.40102,0.2108,0.08429,0.05293,0.03057,1.89771,3.51604,1.83078,0.00933204,0.00933204,0.00933204
4,446.603,1.54535,2.20849,1.47221,0.32889,0.15474,0.12486,0.0726,1.73112,2.74064,1.59074,0.00901,0.00901,0.00901
5,544.73,1.49187,2.09367,1.43863,0.36531,0.22793,0.20054,0.12231,1.56014,2.28821,1.48525,0.00868,0.00868,0.00868
6,641.89,1.45912,2.00784,1.4178,0.40706,0.24014,0.2242,0.13839,1.51137,2.14319,1.47275,0.00835,0.00835,0.00835
7,739.303,1.42808,1.92773,1.39337,0.44214,0.26648,0.26161,0.16614,1.44069,1.93933,1.4155,0.00802,0.00802,0.00802
8,837.816,1.40564,1.86957,1.37618,0.46855,0.30561,0.30706,0.19766,1.39453,1.79194,1.36036,0.00769,0.00769,0.00769
9,935.511,1.38944,1.83139,1.3647,0.46498,0.31741,0.31802,0.20723,1.38228,1.78531,1.36008,0.00736,0.00736,0.00736
10,1034.11,1.36951,1.78886,1.35187,0.48237,0.31092,0.31698,0.2037,1.38407,1.78661,1.34264,0.00703,0.00703,0.00703
11,1131.58,1.35443,1.74883,1.34112,0.49149,0.33605,0.34588,0.22749,1.34307,1.66948,1.3136,0.0067,0.0067,0.0067
12,1229.1,1.34896,1.71505,1.33289,0.49648,0.34321,0.35076,0.23156,1.33138,1.63119,1.29698,0.00637,0.00637,0.00637
13,1326.41,1.33752,1.6964,1.32627,0.51534,0.34856,0.36643,0.24347,1.30607,1.60038,1.29115,0.00604,0.00604,0.00604
14,1424.56,1.32011,1.65622,1.31433,0.49723,0.36992,0.37725,0.25033,1.31256,1.55829,1.2842,0.00571,0.00571,0.00571
15,1522.16,1.31116,1.63606,1.3104,0.52628,0.37414,0.39271,0.26444,1.28566,1.51508,1.26676,0.00538,0.00538,0.00538
16,1619.55,1.30267,1.61289,1.30259,0.53251,0.38396,0.40368,0.27195,1.26484,1.4935,1.26002,0.00505,0.00505,0.00505
17,1716.6,1.29197,1.58656,1.29317,0.53651,0.40035,0.41779,0.28352,1.25935,1.46864,1.2587,0.00472,0.00472,0.00472
18,1813.61,1.28406,1.56906,1.28996,0.5404,0.39576,0.42038,0.28418,1.24921,1.43839,1.24006,0.00439,0.00439,0.00439
19,1911.43,1.27401,1.53828,1.28082,0.53143,0.41624,0.43058,0.29243,1.2382,1.41905,1.23218,0.00406,0.00406,0.00406
20,2009.15,1.26276,1.51685,1.27473,0.56806,0.41144,0.43912,0.30121,1.22894,1.39126,1.22892,0.00373,0.00373,0.00373
21,2108.01,1.27156,1.45731,1.27538,0.54449,0.4088,0.4345,0.29779,1.23192,1.40269,1.23426,0.0034,0.0034,0.0034
22,2204.24,1.25369,1.41084,1.26576,0.57356,0.41431,0.44701,0.30737,1.22565,1.38056,1.22566,0.00307,0.00307,0.00307
23,2300.56,1.24036,1.37897,1.25411,0.57404,0.41972,0.44873,0.30941,1.21438,1.36965,1.2161,0.00274,0.00274,0.00274
24,2397.27,1.22986,1.34924,1.24717,0.58531,0.41927,0.45392,0.31301,1.2111,1.35289,1.21365,0.00241,0.00241,0.00241
25,2493.49,1.21571,1.31811,1.23845,0.57269,0.42527,0.4574,0.3155,1.2071,1.33931,1.21217,0.00208,0.00208,0.00208
26,2589.55,1.20233,1.28892,1.22788,0.57516,0.42954,0.45932,0.31758,1.20339,1.33614,1.20916,0.00175,0.00175,0.00175
27,2685.9,1.18939,1.25849,1.21864,0.57286,0.43328,0.46177,0.31883,1.20293,1.33304,1.20666,0.00142,0.00142,0.00142
28,2782.62,1.17642,1.22909,1.20888,0.58487,0.43123,0.4625,0.31968,1.20006,1.32631,1.20462,0.00109,0.00109,0.00109
29,2879.32,1.16324,1.20624,1.2029,0.58318,0.43327,0.46412,0.32121,1.19733,1.32426,1.20313,0.00076,0.00076,0.00076
30,2976.12,1.15253,1.17602,1.19352,0.5796,0.43446,0.46434,0.32125,1.19745,1.32579,1.20291,0.00043,0.00043,0.00043
