epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.446,1.16725,1.27525,1.21387,0.5868,0.42301,0.45608,0.31347,1.20645,1.37609,1.20706,0.00332481,0.00332481,0.00332481
2,246.429,1.25116,1.50362,1.26328,0.45929,0.28222,0.27,0.17194,1.41301,1.95987,1.35051,0.00643842,0.00643842,0.00643842
3,344.791,1.41022,1.90627,1.37404,0.23437,0.13883,0.07794,0.04393,1.78015,3.32285,1.69539,0.00933204,0.00933204,0.00933204
4,441.705,1.4985,2.16126,1.44843,0.27774,0.17435,0.1365,0.07975,1.61108,2.48898,1.51604,0.00901,0.00901,0.00901
5,538.674,1.45805,2.05169,1.42025,0.35362,0.236,0.20788,0.12514,1.53854,2.18103,1.49064,0.00868,0.00868,0.00868
6,635.206,1.42328,1.95841,1.39903,0.38019,0.24498,0.22239,0.13931,1.49244,2.12406,1.44498,0.00835,0.00835,0.00835
7,732.713,1.40081,1.89869,1.37938,0.42006,0.2844,0.27235,0.17304,1.42328,1.92757,1.38101,0.00802,0.00802,0.00802
8,828.15,1.3775,1.84105,1.36545,0.47067,0.31181,0.30998,0.19932,1.40593,1.82125,1.35282,0.00769,0.00769,0.00769
9,924.6,1.35515,1.7862,1.34527,0.45609,0.3261,0.3275,0.21276,1.37927,1.7277,1.34076,0.00736,0.00736,0.00736
10,1021.31,1.34661,1.75232,1.34178,0.47363,0.33038,0.33834,0.22077,1.3581,1.68532,1.31786,0.00703,0.00703,0.00703
11,1117.52,1.33374,1.72171,1.33191,0.47946,0.33871,0.34008,0.22362,1.34072,1.68334,1.31372,0.0067,0.0067,0.0067
12,1213.61,1.32248,1.68488,1.32275,0.50585,0.34339,0.35424,0.23531,1.32283,1.65933,1.30958,0.00637,0.00637,0.00637
13,1309.97,1.30836,1.66134,1.31552,0.51332,0.35968,0.37027,0.24698,1.29648,1.5867,1.28317,0.00604,0.00604,0.00604
14,1405.71,1.29961,1.62269,1.30534,0.51499,0.38042,0.39513,0.26495,1.2843,1.51954,1.27278,0.00571,0.00571,0.00571
15,1501.85,1.28959,1.60485,1.29849,0.52598,0.37922,0.39177,0.26364,1.26909,1.50921,1.26371,0.00538,0.00538,0.00538
16,1597.41,1.27499,1.57766,1.2923,0.54794,0.38466,0.41274,0.27793,1.25909,1.46165,1.25159,0.00505,0.00505,0.00505
17,1693.33,1.26481,1.55246,1.28505,0.54231,0.39866,0.4184,0.28308,1.24403,1.44244,1.24338,0.00472,0.00472,0.00472
18,1788.92,1.25827,1.52492,1.27606,0.56236,0.4029,0.42855,0.29196,1.24139,1.43063,1.24426,0.00439,0.00439,0.00439
19,1884.91,1.25058,1.50826,1.27243,0.55797,0.41145,0.43414,0.29596,1.22332,1.3857,1.22311,0.00406,0.00406,0.00406
20,1980.52,1.24029,1.48635,1.26484,0.56148,0.41192,0.44127,0.30171,1.21897,1.38262,1.2234,0.00373,0.00373,0.00373
21,2078.29,1.24769,1.43016,1.26691,0.55006,0.41991,0.43926,0.3018,1.21801,1.37906,1.22507,0.0034,0.0034,0.0034
22,2173.24,1.22892,1.37566,1.25466,0.5721,0.41781,0.45044,0.30988,1.2145,1.35896,1.21852,0.00307,0.00307,0.00307
23,2268.32,1.2188,1.35318,1.24906,0.58234,0.41966,0.45357,0.31329,1.20426,1.35172,1.21635,0.00274,0.00274,0.00274
24,2363.71,1.20628,1.32211,1.23982,0.57427,0.4281,0.45434,0.31476,1.19853,1.33895,1.21161,0.00241,0.00241,0.00241
25,2459.4,1.19457,1.28877,1.22771,0.57993,0.42764,0.46032,0.31839,1.19623,1.33042,1.20402,0.00208,0.00208,0.00208
26,2554.34,1.17997,1.26278,1.219,0.58254,0.43172,0.46077,0.31881,1.19204,1.32205,1.2028,0.00175,0.00175,0.00175
27,2650.08,1.16815,1.23042,1.21069,0.58257,0.43274,0.46221,0.32069,1.19156,1.31566,1.2019,0.00142,0.00142,0.00142
28,2746.09,1.15809,1.20336,1.20421,0.59278,0.43208,0.46626,0.32291,1.19019,1.31459,1.20048,0.00109,0.00109,0.00109
29,2841.15,1.14552,1.17903,1.19501,0.57937,0.44018,0.46616,0.32333,1.18854,1.31,1.19894,0.00076,0.00076,0.00076
30,2936.17,1.133,1.15217,1.18656,0.57601,0.44418,0.46687,0.32394,1.18754,1.30868,1.19636,0.00043,0.00043,0.00043
