epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.456,1.16222,1.26238,1.21031,0.57623,0.42383,0.45139,0.31064,1.21603,1.40111,1.2047,0.00332481,0.00332481,0.00332481
2,245.781,1.24623,1.49293,1.26039,0.40185,0.24239,0.22449,0.13885,1.49167,2.09135,1.41997,0.00643842,0.00643842,0.00643842
3,341.906,1.40563,1.89823,1.37072,0.23388,0.09556,0.06273,0.03634,1.82434,3.21408,1.76089,0.00933204,0.00933204,0.00933204
4,440.056,1.49314,2.1482,1.44699,0.29882,0.16847,0.13616,0.08085,1.61949,2.54797,1.55198,0.00901,0.00901,0.00901
5,536.309,1.45651,2.04109,1.41766,0.30237,0.19298,0.15773,0.09547,1.58931,2.55771,1.52857,0.00868,0.00868,0.00868
6,634.603,1.42139,1.95013,1.39595,0.37496,0.25832,0.2297,0.1388,1.49382,2.05525,1.41842,0.00835,0.00835,0.00835
7,731.874,1.39799,1.89614,1.37773,0.43485,0.28879,0.28203,0.17888,1.43791,1.86889,1.37595,0.00802,0.00802,0.00802
8,828.983,1.37438,1.8281,1.36316,0.45398,0.3046,0.29974,0.19112,1.40271,1.80965,1.35601,0.00769,0.00769,0.00769
9,925.364,1.35213,1.77724,1.34611,0.46383,0.32046,0.31955,0.20742,1.39541,1.76577,1.36158,0.00736,0.00736,0.00736
10,1021.98,1.34361,1.74312,1.33929,0.4849,0.32933,0.33774,0.21965,1.35221,1.68691,1.31239,0.00703,0.00703,0.00703
11,1118.8,1.32984,1.71248,1.32805,0.50888,0.34157,0.34991,0.23097,1.32506,1.63264,1.30631,0.0067,0.0067,0.0067
12,1214.97,1.31861,1.67303,1.31961,0.50059,0.34852,0.35824,0.23851,1.3143,1.64485,1.30412,0.00637,0.00637,0.00637
13,1313.33,1.3048,1.64973,1.31307,0.51916,0.35956,0.38077,0.25488,1.28764,1.57104,1.27448,0.00604,0.00604,0.00604
14,1411.51,1.29643,1.61251,1.30281,0.52044,0.37307,0.38871,0.25955,1.28584,1.5426,1.27537,0.00571,0.00571,0.00571
15,1509.37,1.2865,1.59297,1.29716,0.53535,0.37787,0.39745,0.26844,1.26441,1.50641,1.26426,0.00538,0.00538,0.00538
16,1607.08,1.27084,1.56538,1.29032,0.5546,0.38303,0.40723,0.27586,1.25735,1.46649,1.25007,0.00505,0.00505,0.00505
17,1704.87,1.2631,1.54246,1.28323,0.53408,0.4021,0.42071,0.28403,1.2494,1.44207,1.2455,0.00472,0.00472,0.00472
18,1802.49,1.25534,1.51669,1.27541,0.55844,0.40194,0.4316,0.29351,1.24139,1.4173,1.23576,0.00439,0.00439,0.00439
19,1900.33,1.24709,1.49731,1.26939,0.56472,0.40754,0.43526,0.29793,1.22714,1.38504,1.22665,0.00406,0.00406,0.00406
20,1997.93,1.23706,1.47407,1.26377,0.58085,0.40666,0.44417,0.30502,1.22156,1.38387,1.2257,0.00373,0.00373,0.00373
21,2095.61,1.24488,1.41567,1.26431,0.58174,0.41185,0.44267,0.30376,1.21981,1.38211,1.22254,0.0034,0.0034,0.0034
22,2191.56,1.22926,1.37077,1.25285,0.57244,0.41773,0.44827,0.30844,1.21174,1.3642,1.21459,0.00307,0.00307,0.00307
23,2287.46,1.215,1.34579,1.24542,0.57832,0.42379,0.4535,0.31195,1.20709,1.35354,1.21422,0.00274,0.00274,0.00274
24,2383.28,1.20404,1.31346,1.23777,0.57653,0.42923,0.45642,0.3165,1.20246,1.34395,1.21261,0.00241,0.00241,0.00241
25,2479.19,1.19061,1.28267,1.22653,0.55718,0.44064,0.46027,0.32019,1.19775,1.33001,1.20659,0.00208,0.00208,0.00208
26,2575.17,1.17911,1.25269,1.21855,0.55879,0.44457,0.46352,0.3219,1.19603,1.32231,1.20432,0.00175,0.00175,0.00175
27,2671,1.16707,1.22434,1.20847,0.58048,0.43766,0.46659,0.32394,1.19467,1.31776,1.20212,0.00142,0.00142,0.00142
28,2766.54,1.15298,1.19553,1.19994,0.58271,0.44149,0.46893,0.32541,1.18929,1.31354,1.19819,0.00109,0.00109,0.00109
29,2862.23,1.14266,1.1699,1.19404,0.58582,0.44119,0.46937,0.32621,1.18787,1.30971,1.19715,0.00076,0.00076,0.00076
30,2958.25,1.12834,1.14415,1.18419,0.59984,0.43559,0.47014,0.3263,1.1879,1.30781,1.19614,0.00043,0.00043,0.00043
