epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.642,1.47731,1.52365,1.41664,0.58739,0.41165,0.44756,0.29305,1.30621,1.42161,1.22926,0.00332481,0.00332481,0.00332481
2,247.983,1.48487,1.72791,1.42488,0.4419,0.28287,0.28063,0.16892,1.56822,1.97554,1.41365,0.00643842,0.00643842,0.00643842
3,343.867,1.60463,2.121,1.52446,0.24235,0.06517,0.03885,0.02282,1.91691,4.05091,1.80677,0.00933204,0.00933204,0.00933204
4,441.621,1.67372,2.37642,1.59865,0.31927,0.17021,0.13291,0.0763,1.72735,2.62718,1.59362,0.00901,0.00901,0.00901
5,538.249,1.62351,2.25588,1.56678,0.36944,0.22913,0.20698,0.12156,1.64315,2.22528,1.52382,0.00868,0.00868,0.00868
6,635.757,1.59441,2.18285,1.54855,0.37941,0.22847,0.20906,0.12309,1.59136,2.20797,1.4953,0.00835,0.00835,0.00835
7,732.571,1.56752,2.1004,1.52183,0.41286,0.25652,0.23833,0.1468,1.5044,2.02809,1.42261,0.00802,0.00802,0.00802
8,829.466,1.54828,2.03589,1.50634,0.41236,0.2765,0.26579,0.15789,1.55474,1.93839,1.4485,0.00769,0.00769,0.00769
9,927.225,1.53228,1.99522,1.49357,0.42498,0.30127,0.30067,0.18663,1.45681,1.82614,1.38081,0.00736,0.00736,0.00736
10,1025.13,1.51042,1.9463,1.47963,0.49683,0.31206,0.31452,0.1942,1.4632,1.77891,1.37704,0.00703,0.00703,0.00703
11,1122.16,1.49769,1.90908,1.47223,0.47529,0.31978,0.32756,0.21025,1.40492,1.72402,1.3535,0.0067,0.0067,0.0067
12,1219.16,1.48504,1.8654,1.45812,0.47729,0.33329,0.33985,0.21699,1.40398,1.68264,1.3393,0.00637,0.00637,0.00637
13,1316.34,1.47894,1.84684,1.44821,0.49232,0.33674,0.34854,0.22078,1.40542,1.64616,1.33019,0.00604,0.00604,0.00604
14,1413.13,1.46374,1.80665,1.43823,0.48327,0.36125,0.36728,0.23494,1.38129,1.59502,1.31208,0.00571,0.00571,0.00571
15,1509.93,1.45175,1.78737,1.43391,0.5199,0.36401,0.38101,0.24423,1.36457,1.57689,1.3166,0.00538,0.00538,0.00538
16,1606.15,1.44325,1.76316,1.42662,0.52102,0.37582,0.39094,0.25421,1.34609,1.54059,1.29909,0.00505,0.00505,0.00505
17,1701.92,1.43582,1.73815,1.41624,0.52803,0.37298,0.3927,0.25784,1.33853,1.55064,1.2936,0.00472,0.00472,0.00472
18,1798.04,1.42328,1.71864,1.41237,0.52471,0.39019,0.4058,0.25772,1.37262,1.50377,1.30643,0.00439,0.00439,0.00439
19,1894.12,1.41678,1.68667,1.40247,0.53558,0.39548,0.40972,0.27046,1.30845,1.48372,1.26939,0.00406,0.00406,0.00406
20,1989.76,1.39899,1.66307,1.39414,0.53235,0.39952,0.4194,0.27797,1.30277,1.45045,1.26735,0.00373,0.00373,0.00373
21,2086.89,1.42714,1.59221,1.41309,0.54941,0.39917,0.42083,0.27537,1.3128,1.44538,1.26831,0.0034,0.0034,0.0034
22,2182.27,1.40892,1.54443,1.40374,0.5566,0.40589,0.42646,0.28282,1.29972,1.4359,1.26451,0.00307,0.00307,0.00307
23,2277.28,1.39483,1.51101,1.3916,0.54535,0.40616,0.42915,0.28705,1.27962,1.42114,1.25731,0.00274,0.00274,0.00274
24,2372.05,1.3766,1.48077,1.37893,0.55838,0.41016,0.43328,0.29024,1.27534,1.40905,1.25081,0.00241,0.00241,0.00241
25,2466.83,1.36285,1.44319,1.36956,0.55297,0.41915,0.43826,0.29244,1.27863,1.39406,1.25302,0.00208,0.00208,0.00208
26,2561.61,1.34832,1.41237,1.35616,0.55788,0.42053,0.44153,0.29451,1.27819,1.39082,1.25124,0.00175,0.00175,0.00175
27,2656.69,1.33121,1.38288,1.34684,0.5612,0.4194,0.44436,0.29568,1.27669,1.38365,1.24874,0.00142,0.00142,0.00142
28,2751.46,1.31783,1.35503,1.33479,0.55774,0.42016,0.44427,0.29786,1.26721,1.38066,1.24284,0.00109,0.00109,0.00109
29,2846.18,1.3005,1.32763,1.32561,0.56316,0.4213,0.44434,0.29768,1.26639,1.37613,1.24218,0.00076,0.00076,0.00076
30,2940.81,1.28747,1.30051,1.31416,0.5447,0.42537,0.4448,0.2975,1.26862,1.37451,1.24336,0.00043,0.00043,0.00043
