epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.7,1.22433,1.41672,1.249,0.56501,0.4044,0.43345,0.29526,1.20628,1.41417,1.1855,0.00332481,0.00332481,0.00332481
2,160.435,1.31796,1.64811,1.30025,0.41187,0.23184,0.22266,0.13853,1.46203,2.17348,1.40525,0.00643842,0.00643842,0.00643842
3,218.209,1.46285,2.07448,1.42265,0.20798,0.13082,0.07859,0.04365,1.77472,3.0202,1.65859,0.00933204,0.00933204,0.00933204
4,275.407,1.54753,2.30975,1.49438,0.28352,0.17611,0.13598,0.08176,1.6217,2.56321,1.51316,0.00901,0.00901,0.00901
5,332.997,1.50266,2.18742,1.45766,0.31382,0.18794,0.15732,0.09776,1.57559,2.50732,1.51496,0.00868,0.00868,0.00868
6,390.15,1.46713,2.09877,1.43082,0.36595,0.20535,0.1829,0.11247,1.51193,2.29989,1.43982,0.00835,0.00835,0.00835
7,447.678,1.43983,2.03657,1.41235,0.39403,0.23894,0.21979,0.13639,1.44985,2.10493,1.40559,0.00802,0.00802,0.00802
8,504.411,1.4171,1.96698,1.39807,0.46477,0.27995,0.28046,0.17958,1.39746,1.86394,1.35719,0.00769,0.00769,0.00769
9,561.212,1.40688,1.93754,1.39288,0.44812,0.29607,0.29377,0.18797,1.37426,1.80173,1.34328,0.00736,0.00736,0.00736
10,617.681,1.38153,1.87966,1.38087,0.4363,0.31322,0.29977,0.19322,1.36164,1.7687,1.33405,0.00703,0.00703,0.00703
11,674.401,1.36998,1.84345,1.36457,0.48772,0.31316,0.32147,0.21086,1.35027,1.72441,1.3074,0.0067,0.0067,0.0067
12,731.048,1.35308,1.79858,1.35061,0.48196,0.33327,0.33841,0.22474,1.31775,1.64883,1.29681,0.00637,0.00637,0.00637
13,788.038,1.35901,1.78704,1.35135,0.49261,0.34405,0.35622,0.23299,1.31562,1.60394,1.29296,0.00604,0.00604,0.00604
14,845.074,1.33613,1.73616,1.33859,0.50988,0.36063,0.36941,0.24567,1.27901,1.55839,1.26355,0.00571,0.00571,0.00571
15,901.646,1.33364,1.72866,1.33321,0.51492,0.36545,0.37544,0.25012,1.27029,1.5374,1.26569,0.00538,0.00538,0.00538
16,957.79,1.32026,1.69593,1.32696,0.53125,0.36916,0.38617,0.26085,1.25324,1.51091,1.24886,0.00505,0.00505,0.00505
17,1014.95,1.31815,1.6703,1.3228,0.51774,0.38204,0.39538,0.26568,1.24392,1.47744,1.23869,0.00472,0.00472,0.00472
18,1071.59,1.29939,1.64046,1.30864,0.55254,0.38651,0.4069,0.27491,1.23267,1.45095,1.23065,0.00439,0.00439,0.00439
19,1128.51,1.29212,1.63899,1.30889,0.54795,0.3897,0.41053,0.27803,1.2273,1.43875,1.21986,0.00406,0.00406,0.00406
20,1185.22,1.28045,1.59254,1.29922,0.56739,0.38969,0.41997,0.28657,1.21673,1.41612,1.21605,0.00373,0.00373,0.00373
21,1245.35,1.29503,1.53754,1.30471,0.54432,0.39574,0.41136,0.27972,1.22417,1.4301,1.2208,0.0034,0.0034,0.0034
22,1303.6,1.28534,1.49832,1.2993,0.54268,0.3973,0.41836,0.28613,1.21923,1.41158,1.21718,0.00307,0.00307,0.00307
23,1361.09,1.26039,1.45338,1.2822,0.55604,0.39871,0.42368,0.2908,1.21218,1.39572,1.2146,0.00274,0.00274,0.00274
24,1418.61,1.26589,1.43496,1.27913,0.56245,0.40793,0.43258,0.29644,1.20399,1.37877,1.20769,0.00241,0.00241,0.00241
25,1477.6,1.25446,1.40607,1.27147,0.5799,0.3996,0.43235,0.2981,1.19969,1.37659,1.20595,0.00208,0.00208,0.00208
26,1534.98,1.23574,1.36958,1.25802,0.56995,0.4079,0.43395,0.29898,1.19821,1.37147,1.20223,0.00175,0.00175,0.00175
27,1593.45,1.22328,1.33882,1.25545,0.57255,0.4091,0.43698,0.30196,1.1977,1.36094,1.19994,0.00142,0.00142,0.00142
28,1650.23,1.21334,1.31302,1.24041,0.56531,0.41591,0.43791,0.30246,1.19545,1.35771,1.19892,0.00109,0.00109,0.00109
29,1707.67,1.19339,1.28158,1.23117,0.56698,0.41607,0.44065,0.30441,1.19231,1.35457,1.19631,0.00076,0.00076,0.00076
30,1765.66,1.19651,1.26063,1.22775,0.56138,0.41933,0.44099,0.3047,1.19237,1.35197,1.19531,0.00043,0.00043,0.00043
