epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.029,1.17649,1.27971,1.21872,0.57158,0.43205,0.45533,0.31435,1.19219,1.36022,1.18248,0.00332481,0.00332481,0.00332481
2,250.732,1.25908,1.50745,1.26581,0.42412,0.27142,0.25345,0.15728,1.48186,2.02701,1.40812,0.00643842,0.00643842,0.00643842
3,348.669,1.41725,1.91251,1.37819,0.29183,0.07701,0.03994,0.02255,1.87307,3.85906,1.82474,0.00933204,0.00933204,0.00933204
4,449.286,1.50697,2.1673,1.45418,0.30275,0.17436,0.14214,0.08287,1.65864,2.55637,1.55777,0.00901,0.00901,0.00901
5,547.162,1.46842,2.05901,1.42885,0.37748,0.23619,0.21152,0.13053,1.52113,2.17851,1.46324,0.00868,0.00868,0.00868
6,645.119,1.43105,1.96264,1.40248,0.42021,0.2314,0.21969,0.13609,1.53686,2.18274,1.49051,0.00835,0.00835,0.00835
7,743.138,1.40928,1.90794,1.38491,0.41094,0.27397,0.26156,0.1647,1.45325,1.95346,1.38242,0.00802,0.00802,0.00802
8,840.052,1.38493,1.84466,1.37083,0.44666,0.2883,0.28873,0.18486,1.40765,1.88665,1.36521,0.00769,0.00769,0.00769
9,937.035,1.36522,1.78745,1.35312,0.4566,0.32364,0.32564,0.21234,1.3722,1.74413,1.34037,0.00736,0.00736,0.00736
10,1034.81,1.35465,1.75395,1.34567,0.45103,0.32276,0.32448,0.21348,1.36667,1.73418,1.32694,0.00703,0.00703,0.00703
11,1132.5,1.34027,1.72467,1.33509,0.49469,0.34149,0.35016,0.22947,1.33642,1.65156,1.3073,0.0067,0.0067,0.0067
12,1229.74,1.32792,1.68541,1.32721,0.50343,0.34923,0.35911,0.23749,1.32326,1.62812,1.30779,0.00637,0.00637,0.00637
13,1327.49,1.31633,1.66172,1.31978,0.52555,0.36492,0.38006,0.2536,1.28691,1.55647,1.27592,0.00604,0.00604,0.00604
14,1424.61,1.30682,1.62417,1.30891,0.51385,0.37331,0.38621,0.25901,1.28587,1.54126,1.2705,0.00571,0.00571,0.00571
15,1522.38,1.29712,1.60825,1.30242,0.52555,0.37554,0.39653,0.26559,1.27163,1.51371,1.26272,0.00538,0.00538,0.00538
16,1620.3,1.2819,1.582,1.29611,0.53583,0.38483,0.40308,0.27105,1.26305,1.48211,1.25348,0.00505,0.00505,0.00505
17,1717.35,1.27236,1.55665,1.28814,0.56172,0.39174,0.42093,0.28536,1.25134,1.44503,1.24883,0.00472,0.00472,0.00472
18,1813.58,1.26464,1.52781,1.28,0.55445,0.40378,0.43014,0.2931,1.24275,1.41999,1.23972,0.00439,0.00439,0.00439
19,1910.31,1.25658,1.50894,1.27537,0.5692,0.40677,0.43484,0.29671,1.22705,1.39684,1.22875,0.00406,0.00406,0.00406
20,2007.17,1.24736,1.48638,1.26829,0.55812,0.41062,0.43794,0.30101,1.21748,1.38804,1.22279,0.00373,0.00373,0.00373
21,2105.22,1.25733,1.42965,1.27098,0.56412,0.41328,0.44078,0.30279,1.21887,1.38391,1.21851,0.0034,0.0034,0.0034
22,2200.92,1.2388,1.38171,1.25828,0.5527,0.42711,0.44655,0.30682,1.21403,1.36653,1.21648,0.00307,0.00307,0.00307
23,2297.21,1.22677,1.35358,1.24993,0.58269,0.42397,0.45331,0.31266,1.20957,1.35086,1.21171,0.00274,0.00274,0.00274
24,2394.19,1.21465,1.32668,1.24187,0.5868,0.42133,0.4547,0.31525,1.19874,1.34507,1.20846,0.00241,0.00241,0.00241
25,2490.24,1.20432,1.29123,1.23229,0.58142,0.43277,0.46164,0.32089,1.19793,1.33102,1.20533,0.00208,0.00208,0.00208
26,2586.46,1.18982,1.26345,1.22367,0.5611,0.43901,0.46075,0.31981,1.19656,1.32703,1.20335,0.00175,0.00175,0.00175
27,2683.09,1.17795,1.23675,1.21445,0.5828,0.43416,0.46324,0.32114,1.19524,1.31934,1.20209,0.00142,0.00142,0.00142
28,2779.08,1.16579,1.20599,1.20743,0.56883,0.43849,0.46485,0.32331,1.19405,1.31711,1.20077,0.00109,0.00109,0.00109
29,2875.72,1.15332,1.18283,1.19902,0.57848,0.43624,0.46448,0.32306,1.1921,1.31324,1.20031,0.00076,0.00076,0.00076
30,2972.12,1.14089,1.15552,1.1895,0.58123,0.4386,0.46674,0.32359,1.19245,1.3107,1.19913,0.00043,0.00043,0.00043
