epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
4,447.588,1.50386,2.17239,1.45195,0.26979,0.17445,0.12905,0.07496,1.69822,2.77064,1.6271,0.00901,0.00901,0.00901
5,546.832,1.46256,2.06387,1.42705,0.34629,0.24124,0.2091,0.1252,1.55455,2.2171,1.46836,0.00868,0.00868,0.00868
6,645.291,1.42925,1.96624,1.40259,0.39523,0.23921,0.2238,0.13875,1.49276,2.09289,1.44801,0.00835,0.00835,0.00835
7,742.336,1.40697,1.91366,1.38473,0.42661,0.28938,0.28057,0.1778,1.42156,1.88576,1.37434,0.00802,0.00802,0.00802
8,839.245,1.3829,1.84925,1.36911,0.46051,0.29829,0.29546,0.18927,1.42215,1.82531,1.37407,0.00769,0.00769,0.00769
9,935.825,1.35996,1.79289,1.35035,0.47175,0.32763,0.32854,0.21451,1.3715,1.7244,1.33465,0.00736,0.00736,0.00736
10,1033.04,1.3501,1.75741,1.34402,0.4513,0.32592,0.32601,0.21533,1.34613,1.71182,1.32148,0.00703,0.00703,0.00703
11,1129.72,1.3367,1.7306,1.33179,0.48472,0.35105,0.35646,0.23633,1.3261,1.63322,1.3029,0.0067,0.0067,0.0067
12,1226.17,1.32575,1.69281,1.32428,0.50735,0.33981,0.35017,0.23278,1.32056,1.67378,1.30024,0.00637,0.00637,0.00637
13,1323.04,1.31363,1.66851,1.31891,0.51914,0.36349,0.37914,0.25477,1.29188,1.57903,1.28647,0.00604,0.00604,0.00604
14,1419.63,1.30395,1.62984,1.31019,0.50028,0.36967,0.37928,0.25354,1.28859,1.54544,1.28011,0.00571,0.00571,0.00571
15,1516.46,1.29361,1.60876,1.30263,0.51765,0.38134,0.39391,0.26567,1.27092,1.52657,1.26522,0.00538,0.00538,0.00538
16,1613.59,1.27993,1.58572,1.29754,0.55417,0.37882,0.40672,0.2726,1.26579,1.48545,1.25414,0.00505,0.00505,0.00505
17,1710.08,1.27067,1.56157,1.28945,0.54223,0.39867,0.41888,0.28574,1.24564,1.44918,1.24438,0.00472,0.00472,0.00472
18,1806.26,1.2638,1.53382,1.28258,0.56018,0.40316,0.43065,0.29302,1.24099,1.4168,1.2386,0.00439,0.00439,0.00439
19,1903.01,1.25538,1.51311,1.27506,0.56938,0.398,0.43225,0.29545,1.22736,1.39794,1.22618,0.00406,0.00406,0.00406
20,1999.65,1.2436,1.49168,1.26829,0.55297,0.4177,0.43981,0.3017,1.21431,1.38614,1.22031,0.00373,0.00373,0.00373
21,2097.83,1.25531,1.43236,1.27376,0.55653,0.42389,0.44222,0.30522,1.21727,1.38195,1.22386,0.0034,0.0034,0.0034
22,2194.49,1.2361,1.38456,1.2598,0.57187,0.42029,0.44847,0.30906,1.20863,1.36025,1.21671,0.00307,0.00307,0.00307
23,2290.91,1.22416,1.35722,1.25191,0.58325,0.416,0.44982,0.30986,1.20179,1.35354,1.21319,0.00274,0.00274,0.00274
24,2387.28,1.21172,1.32676,1.24235,0.59637,0.41872,0.45498,0.31477,1.19969,1.3458,1.20985,0.00241,0.00241,0.00241
25,2483.57,1.2001,1.29768,1.23354,0.57717,0.43024,0.4579,0.31806,1.19446,1.33406,1.20507,0.00208,0.00208,0.00208
26,2580.12,1.18704,1.26978,1.2238,0.58276,0.43153,0.46054,0.32003,1.19239,1.32591,1.2037,0.00175,0.00175,0.00175
27,2676.59,1.17438,1.24116,1.21463,0.55965,0.44379,0.46514,0.32258,1.19198,1.32129,1.20267,0.00142,0.00142,0.00142
28,2773.03,1.16081,1.2088,1.20674,0.57468,0.43696,0.46587,0.32417,1.18849,1.31427,1.19997,0.00109,0.00109,0.00109
29,2869.34,1.15036,1.18422,1.19818,0.57489,0.43932,0.46409,0.32281,1.18745,1.31159,1.19783,0.00076,0.00076,0.00076
30,2965.49,1.13646,1.15926,1.18921,0.59086,0.43562,0.46599,0.32359,1.18886,1.31114,1.19794,0.00043,0.00043,0.00043
